rms,zcr,centroid,bandwidth,rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.09613836,0.12497780539772728,2714.7025192647966,2657.0044136598367,5692.106489701705,-196.41852,68.65557,26.1146,53.72483,-13.656107,13.738592,0.62909025,6.8266983,9.734501,-0.5486658,-2.0343232,2.777626,-2.0823672,ripe
0.11217325,0.04137073863636364,1519.7452329165296,2223.0226673082266,3415.459650213068,-210.51202,116.908195,32.6975,40.688286,-4.6054153,10.141163,11.108888,4.2744746,2.693741,6.718091,4.69451,0.007733822,0.8111504,ripe
0.12519139,0.08251953125,1914.572578141176,2409.601378156656,4410.880903764205,-198.85751,99.11743,20.142094,36.644726,2.7379465,23.696735,2.5989008,6.466719,-2.1662474,0.9813999,2.6835544,1.8897649,3.0198936,ripe
0.18459581,0.08786843039772728,2276.5437824115497,2273.6041048668744,4527.35595703125,-128.39293,82.470474,5.065943,53.867687,-2.0146174,12.545588,16.85959,6.47449,1.0485686,0.9580355,-9.695484,8.165715,-3.2681653,ripe
0.14085211,0.07310901988636363,2330.7015968921746,2660.047960707038,5213.971502130682,-157.20934,82.33313,41.485104,41.09916,-10.079341,21.732796,9.949113,10.740551,0.9048233,2.3318305,8.690726,3.6573007,-0.7097938,ripe
0.10039347,0.06358753551136363,2038.0585755545535,2327.7856517498662,4429.967151988636,-201.2856,93.35113,22.416412,49.513233,10.304511,20.8857,-4.3812685,15.339646,7.408176,3.807588,5.3084874,9.704454,0.8189461,ripe
0.12659714,0.10213955965909091,2367.356383427511,2267.4362832828697,4520.993874289773,-145.85814,77.114784,-7.6851916,49.64534,7.4268403,10.995196,0.97597927,14.999894,8.370889,10.176475,2.9305413,-3.796169,-6.7983913,ripe
0.030132055,0.10782137784090909,2342.0165222194037,2426.599117681661,4855.247913707386,-372.94247,81.52003,24.101751,33.228733,-8.448434,33.416885,5.6354175,3.0368552,4.012051,17.160578,5.481133,0.76947314,1.789846,ripe
0.089344226,0.06349875710227272,2073.923214474509,2567.641717750625,4901.250665838068,-215.9229,90.53892,41.908722,43.44558,1.2852596,23.588593,9.090726,1.4798974,-12.598258,6.9157124,-0.76857793,9.503958,-3.0336244,ripe
0.08004444,0.10988547585227272,2662.090533741479,2658.5415483842794,5643.656782670455,-235.22179,60.580368,17.309198,53.756546,21.69275,13.00347,-0.629427,20.97384,4.2587504,-10.875398,4.8333797,19.317156,-13.163513,ripe
0.14627759,0.2740811434659091,3867.2805282436316,2620.2232403487405,6815.2587890625,-99.15971,26.537561,17.119312,60.688805,-13.394861,0.60676134,-7.193941,1.7925776,2.7350142,6.742595,-13.046159,10.918962,1.4522818,ripe
0.10808907,0.12360174005681818,2960.0792277204487,2613.991403300894,5766.004527698864,-174.90605,59.381546,19.381681,53.862125,-8.316803,25.750341,-11.230854,6.3962727,3.177086,2.0906045,8.999069,8.028778,-5.752486,ripe
0.09751518,0.059858842329545456,1969.4454028392859,2299.6158536936086,4373.687189275568,-219.88618,106.028275,19.327446,52.681103,-0.179433,8.194497,-11.961903,2.161325,0.8938636,-1.255184,6.4738097,6.190359,3.6504927,ripe
0.15854762,0.10265003551136363,2811.1097624497024,2724.515568412696,5895.203746448864,-157.48135,59.34901,21.540123,53.58058,0.1670897,13.4122095,0.8757672,9.708745,7.979601,-0.1969142,-3.347924,0.19110872,3.048365,ripe
0.09463883,0.10540216619318182,2640.397620738277,2791.267000108449,6010.210626775568,-184.95918,76.131645,38.39816,34.814175,0.6617737,21.652449,-3.2511594,9.058448,-1.5552503,8.806762,-6.3808103,12.317234,5.720906,ripe
0.07741047,0.21673029119318182,3224.9976007488613,2502.03023532396,5826.689009232955,-218.80371,40.637367,20.747555,81.22932,-3.209221,6.451007,27.184193,-0.84868085,-12.530014,17.728012,-2.3497992,4.5494685,-2.176467,ripe
0.1287294,0.1498135653409091,3029.8916805351228,2630.4824641632526,5835.987437855114,-206.81898,53.680027,6.96333,49.25614,5.1357493,4.649036,-3.6358988,7.1968155,4.1749063,5.2059307,0.33211562,7.372055,-3.547461,ripe
0.11697995,0.15764825994318182,2803.679704574848,2333.840637779639,5141.541637073864,-186.50307,49.22919,20.26052,80.65069,-0.28659952,9.232558,-6.181444,24.68925,8.231185,-0.24053381,9.7289915,4.204803,-0.91230065,ripe
0.089524195,0.048295454545454544,1814.3360568657263,2329.405945467218,3851.507013494318,-234.05844,97.390816,27.586845,41.96287,9.149199,12.937316,2.789907,12.741522,6.7643723,9.521949,3.642412,2.2018175,-0.5769449,ripe
0.14274868,0.07785866477272728,1842.4596395859362,2139.486354293226,3650.8567116477275,-189.73676,106.53914,-9.646402,21.219635,4.2676883,6.906154,-7.0324636,18.90312,-1.3462908,1.1483992,1.8266652,8.631556,4.7624354,ripe
0.12689097,0.11874112215909091,2411.1542553133154,2699.07340462506,5617.719060724432,-201.89093,85.62206,30.36011,18.276606,-10.773328,26.443361,-4.1203275,2.6725166,3.7888975,-0.77287364,-5.1448812,3.8242285,-1.4148415,ripe
0.10944445,0.07961203835227272,2251.0062479328917,2469.587650060668,4902.229447798295,-162.3079,94.68808,16.200663,35.82989,-3.3265154,7.879889,-2.071743,4.4685063,-2.7181675,1.2106322,2.9483368,5.681671,-3.584569,ripe
